,Gads_true,Gads_pred,Cadsb_true,Cadsb_pred,Csite_true,Csite_pred
314,-0.51650536,-0.56531984,1,1,2,2
315,-0.2533818,-0.23442855,6,6,1,1
316,0.06313986,0.23181865,3,3,2,2
317,-0.43460554,-0.49829987,6,6,1,1
318,-0.17149208,-0.06325294,0,0,0,0
319,-1.5958052,-1.2206361,4,4,1,1
320,0.19440785,0.19046152,3,3,1,1
321,1.9608401,1.9304329,2,2,0,0
322,-0.69514287,-0.7431111,4,4,1,1
323,-0.34895557,-0.35606974,6,6,1,1
324,-0.00573455,0.11355199,0,0,0,0
325,-0.8855412,-0.8958119,5,5,0,0
326,-0.49933642,-0.49850893,6,6,1,1
327,0.23027924,0.22488856,3,3,1,1
328,-0.36932078,-0.32650554,0,0,0,0
329,0.92305696,1.0211943,2,2,0,0
330,-0.805385,-0.85702515,4,4,1,1
331,-0.97490305,-0.9861946,5,5,0,0
332,-1.3005532,-1.2033889,4,4,1,1
333,0.3445453,0.29112402,3,3,1,1
334,-1.7842817,-1.7127072,4,4,1,1
335,1.1840323,1.1847534,3,3,1,1
336,-0.58935624,-0.5469446,6,6,1,1
337,0.32813013,0.34065259,0,0,0,0
338,0.96001726,0.9697834,2,2,0,0
339,-0.13903047,-0.14388755,6,6,1,1
340,-0.1786712,-0.20760533,4,4,1,1
341,0.02837081,0.006833095,1,1,2,2
342,-1.2170155,-1.196671,5,5,0,0
343,-0.3480165,-0.31766808,6,6,1,1
344,-0.60835165,-0.51096576,6,6,1,1
345,-0.36172652,-0.42649072,0,0,0,0
346,-0.5799112,-0.51409286,6,6,1,1
347,-0.91573787,-0.9447949,4,4,1,1
348,-0.9292558,-0.8941532,4,4,1,1
349,-0.35867915,-0.29243493,1,1,2,2
350,-1.9737784,-2.008971,4,4,1,1
351,-0.8383606,-0.84769595,4,4,1,1
352,-1.054478,-1.0467591,4,4,1,1
353,1.4752685,1.551154,2,2,0,0
354,-0.36402193,-0.368429,6,6,1,1
355,-1.1750443,-1.1422005,5,5,0,0
356,-0.4581597,-0.4398928,6,6,1,1
357,-0.44589207,-0.44427967,6,6,1,1
358,0.35940468,0.3098655,0,0,0,0
359,0.13315327,0.17273,0,0,0,0
360,-1.7129568,-1.7026124,4,4,1,1
361,-0.25551364,-0.20504417,6,6,1,1
362,-1.844266,-1.9333279,4,4,1,1
363,-0.10710932,-0.07869965,3,3,1,1
364,-0.37993583,-0.39768955,6,6,1,1
365,0.28016937,0.27752683,3,3,1,1
366,-0.4955458,-0.53944993,6,6,1,1
367,-0.47739047,-0.4428635,6,6,1,1
368,-0.9460121,-0.93794626,5,5,0,0
369,0.893461,0.94772816,3,3,1,1
370,-0.16700664,-0.193851,6,6,1,1
371,-0.30587173,-0.33816916,3,3,1,1
372,0.40281016,0.34182388,3,3,1,1
373,-0.7458101,-0.79568195,1,1,2,2
374,-0.44148037,-0.43526798,6,6,1,1
375,0.57435113,0.58738804,3,3,2,2
376,-1.3673081,-1.3468571,4,4,1,1
377,-0.7412631,-0.7458873,3,3,2,2
378,0.2954394,0.27104902,3,3,2,2
379,-1.2236454,-1.267348,5,5,0,0
380,1.1060957,1.1308494,2,2,0,0
381,-0.975482,-0.8992591,4,4,1,1
382,-0.18627578,-0.2170695,1,1,2,2
383,-1.4425187,-1.4721086,5,5,0,0
384,-0.9455143,-0.99184614,4,4,1,1
385,-0.28436002,-0.23922205,0,0,0,0
386,-0.92973876,-1.0720091,3,3,2,2
387,-0.41018724,-0.39943948,0,0,0,0
388,-1.6621214,-1.5549288,5,5,0,0
389,-0.3418193,-0.3903921,6,6,1,1
390,-0.06808144,-0.022278756,4,4,1,1
391,-0.33828047,-0.3565525,6,6,1,1
392,-0.17357066,-0.062219713,0,0,0,0
393,-0.629341,-0.5939786,6,6,1,1
394,-0.5110298,-0.47904897,6,6,1,1
395,0.31655943,0.2468265,0,0,0,0
396,-0.423894,-0.43530387,6,6,1,1
397,0.47838145,0.48207194,0,0,0,0
398,-0.26194954,-0.3336034,1,1,2,2
399,0.31615445,0.18712628,3,3,2,2
400,-0.2713038,-0.32200158,6,6,1,1
401,-1.2179908,-1.1947961,5,5,0,0
402,-0.41607895,-0.40663028,6,6,1,1
403,-0.39635226,-0.38597262,6,6,1,1
404,-0.47618967,-0.40367177,0,0,0,0
405,0.23551218,0.22134101,3,3,1,1
406,-1.2386954,-1.2522262,5,5,0,0
407,-0.3840343,-0.41146448,6,6,1,1
408,-0.0318315,-0.055436835,0,0,0,0
409,-1.3982552,-1.3709552,5,5,0,0
410,1.5040557,1.4391043,2,2,0,0
411,-0.9618272,-0.9743445,5,5,0,0
412,0.70742136,0.74646306,3,3,1,1
413,-0.12398624,-0.18800765,6,6,1,1
414,-1.2424064,-1.2075063,5,5,0,0
415,2.152883,2.1180649,2,2,0,0
416,0.8558118,0.9133464,2,2,0,0
417,-1.3138152,-1.2730002,5,5,0,0
418,-1.2613709,-1.3898596,5,5,0,0
419,-0.54332846,-0.54006565,1,1,2,2
420,-0.29222012,-0.25704592,3,3,2,2
421,-1.4705553,-1.4056513,5,5,0,0
422,-0.8856695,-0.9808747,4,4,1,1
423,0.46283373,0.3904273,3,3,1,1
424,-0.43397492,-0.4002066,6,6,1,1
425,1.0965642,1.1922412,2,2,0,0
426,-1.277055,-1.281351,5,5,0,0
427,-0.11011852,-0.10500396,6,6,1,1
428,-1.7492107,-1.8463737,4,4,1,1
429,-1.5583153,-1.5071522,5,5,0,0
430,1.0244708,0.9988953,3,3,1,1
431,-1.2537006,-1.2877396,5,5,0,0
432,-0.26012066,-0.18688196,4,4,1,1
433,-1.2519811,-1.2309835,5,5,0,0
434,-2.0009494,-2.0160487,4,4,1,1
435,-1.2869505,-1.3183103,4,4,1,1
436,-0.43596286,-0.3932656,6,6,1,1
437,0.05508036,0.10478182,1,1,2,2
438,-0.15271324,0.0052796155,3,3,2,2
439,-0.51732874,-0.44833302,3,3,2,2
440,0.63760525,0.40544933,1,1,2,2
441,-1.0842931,-1.0696917,5,5,0,0
442,-0.24826853,-0.24869949,6,6,1,1
443,0.012692905,0.08673589,3,3,1,1
444,0.2410667,0.23436943,0,0,0,0
445,-2.347198,-2.3250942,4,4,1,1
446,-0.95261735,-0.9313247,5,5,0,0
447,-0.38495985,-0.448005,0,0,0,0
448,-1.0600377,-1.1424457,5,5,0,0
449,0.3837851,0.1684016,0,0,0,0
450,0.1523191,0.1955575,3,3,2,2
451,1.1730843,1.1662285,2,2,0,0
452,0.31608966,0.38106045,0,0,0,0
453,-0.40193275,-0.42829388,6,6,1,1
454,-0.9508565,-0.89642924,1,1,2,2
455,0.37690556,0.4056825,3,3,1,1
456,-1.0487413,-1.0332844,1,1,2,2
457,0.12262273,0.15913495,1,1,2,2
458,-0.34550947,-0.40087554,1,1,2,2
459,0.054006964,0.09880051,3,3,1,1
460,-1.201188,-1.2073867,4,4,1,1
461,-1.0807618,-1.0371616,5,5,0,0
462,0.58990335,0.52169645,3,3,2,2
463,-0.7670376,-0.7588285,3,3,2,2
464,0.13156976,0.1402818,3,3,1,1
465,-1.2454363,-1.2706215,5,5,0,0
466,-1.1998512,-1.1699612,5,5,0,0
467,1.0071161,1.0245625,2,2,0,0
468,0.30461,0.3323304,3,3,2,2
469,-0.95751464,-0.70757973,3,3,2,2
470,-0.38652608,-0.34208965,6,6,1,1
471,-1.0978345,-1.1199626,5,5,0,0
472,-1.6877046,-1.7108648,4,4,1,1
473,0.16332117,0.23313904,0,0,0,0
474,-1.2550106,-1.2782601,5,5,0,0
475,-0.31942424,-0.24110235,4,4,1,1
476,-0.43509257,-0.45626113,6,6,1,1
477,-0.28178337,-0.25828534,6,6,1,1
478,-0.84914833,-0.9598409,5,5,0,0
479,-1.2583172,-1.2843603,5,5,0,0
480,1.0891991,1.038546,2,2,0,0
481,-0.44764802,-0.4617666,0,0,0,0
482,1.219437,1.1989272,3,3,1,1
483,-0.094792865,-0.047189377,3,3,2,2
484,-0.48327884,-0.50676984,0,0,0,0
485,-0.4349749,-0.3815326,0,0,0,0
486,0.3384925,0.29398814,1,1,2,2
487,-0.97276133,-0.95349216,4,4,1,1
488,-0.4825598,-0.4425257,6,6,1,1
489,-0.6202523,-0.5376587,6,6,1,1
490,0.3553404,0.35352492,3,3,1,1
491,-1.0773847,-1.0966346,5,5,0,0
492,-1.0556269,-1.0563712,1,1,2,2
493,-1.894076,-1.819085,4,4,1,1
494,-1.3737701,-1.3074068,5,5,0,0
495,-0.4524418,-0.40922958,6,6,1,1
496,0.7513086,0.7560897,3,3,2,2
497,0.8966773,0.975834,2,2,0,0
498,0.0958754,0.17827767,3,3,1,1
499,-1.1328148,-1.1194386,5,5,0,0
500,-1.4636977,-1.4588931,5,5,0,0
501,-1.3733801,-1.3764665,5,5,0,0
502,-0.46623564,-0.49418634,6,6,1,1
503,-1.0433329,-1.0710949,4,4,1,1
504,-0.87092686,-0.8704486,5,5,0,0
505,-0.08578548,-0.08143541,6,6,1,1
506,-0.13985132,-0.1799779,0,0,0,0
507,-0.45309952,-0.45216027,6,6,1,1
508,2.292631,2.2350624,2,2,0,0
509,2.5594985,2.5226493,2,2,0,0
510,-1.0266092,-0.9899041,5,5,0,0
511,0.15638241,0.0161631,3,3,2,2
512,-0.39171258,-0.4713765,0,0,0,0
513,-0.04912563,-0.18710327,1,1,2,2
514,0.0177013,-0.0890792,1,1,2,2
515,0.7219378,0.7318879,3,3,1,1
516,-0.24618755,-0.43491915,4,4,1,1
517,0.94456565,0.96031106,3,3,1,1
518,-1.4187077,-1.4479823,4,4,1,1
519,0.81869537,0.82801986,2,2,0,0
520,-1.4470491,-1.3960971,5,5,0,0
521,-0.49574962,-0.40178746,0,0,0,0
522,-1.2572796,-1.2334603,4,4,1,1
523,-0.40585163,-0.39863193,6,6,1,1
524,-0.49639112,-0.48636708,6,6,1,1
525,-1.2948004,-1.2803742,5,5,0,0
526,0.6932593,0.7018447,3,3,2,2
527,0.26896867,-0.22977516,1,1,2,2
528,-1.4428717,-1.4640547,5,5,0,0
529,-0.10260362,-0.011566728,3,3,2,2
530,0.044336867,-0.011100441,3,3,2,2
531,-0.5141935,-0.4516773,6,6,1,1
532,-0.5497951,-0.5409107,0,0,0,0
533,-0.4982803,-0.5123121,6,6,1,1
534,0.45232344,0.49710622,3,3,1,1
535,-0.2713841,-0.3046498,6,6,1,1
536,0.34518808,0.32828233,0,0,0,0
537,1.0933287,1.131377,2,2,0,0
538,0.14765705,0.18504095,3,3,2,2
539,0.4205802,0.349486,1,1,2,2
540,-1.606207,-1.5775964,4,4,1,1
541,-1.3275005,-1.3148,5,5,0,0
542,1.0975107,1.1314573,3,3,1,1
543,-0.1329579,-0.1211742,0,0,0,0
544,-0.73576325,-0.74661046,1,1,2,2
545,-0.32318828,-0.34156862,6,6,1,1
546,-0.60098916,-0.5733222,6,6,1,1
547,-0.41645476,-0.43541992,6,6,1,1
548,-0.09545901,-0.10434503,0,0,0,0
549,-1.0061678,-0.9198419,4,4,1,1
550,-0.54088044,-0.64940107,1,1,2,2
551,-0.6731107,-0.6100461,3,3,2,2
552,-1.0924821,-1.0592581,5,5,0,0
553,1.248687,1.2063191,2,2,0,0
554,-0.9075394,-0.9781004,5,5,0,0
555,-0.12786655,-0.12186791,6,6,1,1
556,0.4947914,0.4909013,1,1,2,2
557,-1.3077794,-1.2467601,5,5,0,0
558,0.32921347,0.30848306,1,1,2,2
559,0.62685066,0.6078377,3,3,2,2
560,-0.44671005,-0.4106517,6,6,1,1
561,-0.39754435,-0.3804146,0,0,0,0
562,-0.6110729,-0.5894662,3,3,2,2
563,1.407752,1.4570563,2,2,0,0
564,-1.610643,-1.5273538,4,4,1,1
565,-0.16196328,-0.1862871,4,4,1,1
566,-2.1323807,-2.153938,4,4,1,1
567,-0.48555878,-0.47284544,6,6,1,1
568,-0.48217514,-0.50029445,4,4,1,1
569,-1.6426744,-1.6955788,4,4,1,1
570,0.17730907,0.21248156,4,4,1,1
571,0.3820364,0.4193022,0,0,0,0
572,-0.31346768,-0.29236192,3,3,1,1
573,2.3674443,2.1139736,2,2,0,0
574,-0.5488608,-0.5775418,6,6,1,1
575,-1.0224038,-0.94846135,3,3,2,2
576,0.43316418,0.42952213,3,3,2,2
577,-0.41205528,-0.39987463,0,0,0,0
578,-0.41160268,-0.4512056,0,0,0,0
579,-1.1071831,-1.0483127,1,1,2,2
580,-0.5250439,-0.44317514,0,0,0,0
581,-0.4510705,-0.5437157,6,6,1,1
582,1.268265,1.1542052,2,2,0,0
583,-0.4405798,-0.38537434,6,6,1,1
584,0.40647125,0.43889612,2,2,0,0
585,-0.3354711,-0.29298016,6,6,1,1
586,1.0771466,1.0208133,2,2,0,0
587,-1.438929,-1.4482968,5,5,0,0
588,-1.2143215,-1.1697352,4,4,1,1
589,-0.43149534,-0.45693716,0,0,0,0
590,-0.49389395,-0.43147665,0,0,0,0
591,-0.95903563,-0.94122446,3,3,2,2
592,-0.04868598,-0.03827946,1,1,2,2
593,-0.30319896,-0.2638219,3,3,1,1
594,-1.5374566,-1.600155,5,5,0,0
595,-0.5156744,-0.46018374,6,6,1,1
